dimension,label,layer,r,alpha_fold_1,alpha_fold_2,alpha_fold_3,alpha_fold_4,alpha_fold_5,p_pearson_approx,q_bh_fdr_130_approx,reject_bh_fdr_05,inference_status
final_decision_continuous,Final decision,16,0.6013328531897879,0.1,0.1,0.1,0.1,0.1,4.082192076865237e-49,1.6081362727044872e-48,True,exploratory Pearson approximation
final_decision_continuous,Final decision,17,0.5922363816066499,0.1,0.1,0.1,0.1,0.1,2.453778990543476e-47,9.114036250590054e-47,True,exploratory Pearson approximation
final_decision_continuous,Final decision,18,0.6106979017847635,0.1,0.1,0.1,0.1,0.1,5.233347245686871e-51,2.5197597849603456e-50,True,exploratory Pearson approximation
final_decision_continuous,Final decision,19,0.609370297136768,0.1,0.1,0.1,0.1,0.1,9.791586094336536e-51,4.389331697461206e-50,True,exploratory Pearson approximation
final_decision_continuous,Final decision,20,0.6101684229463286,0.1,0.1,0.1,0.1,0.1,6.721141225756917e-51,3.120529854815712e-50,True,exploratory Pearson approximation
final_decision_continuous,Final decision,21,0.6198895262667399,0.1,0.1,0.1,0.1,0.1,6.298034230408753e-53,3.411435208138074e-52,True,exploratory Pearson approximation
final_decision_continuous,Final decision,22,0.6040596793611693,0.1,0.1,0.1,0.1,0.1,1.1652861799747147e-49,4.733975106147279e-49,True,exploratory Pearson approximation
final_decision_continuous,Final decision,23,0.6149626441247158,0.1,0.1,0.1,0.1,0.1,6.854901694651956e-52,3.467130317953763e-51,True,exploratory Pearson approximation
final_decision_continuous,Final decision,24,0.6090530845444164,0.1,0.1,0.1,0.1,0.1,1.136765616383699e-50,4.925984337662696e-50,True,exploratory Pearson approximation
final_decision_continuous,Final decision,25,0.6069821353960617,0.1,0.1,0.1,0.1,0.1,2.999486343330658e-50,1.257849111719308e-49,True,exploratory Pearson approximation
judgment_continuous,Judgment,0,0.5742297312799435,0.1,0.1,0.1,0.1,0.1,5.614646585239027e-44,1.6588728547297126e-43,True,exploratory Pearson approximation
judgment_continuous,Judgment,1,0.594566833551853,0.1,0.1,0.1,0.1,0.1,8.699157013534168e-48,3.3261482698807113e-47,True,exploratory Pearson approximation
judgment_continuous,Judgment,2,0.659513697577236,0.1,0.1,0.1,0.1,0.1,5.5257819848737926e-62,1.0262166543337043e-60,True,exploratory Pearson approximation
judgment_continuous,Judgment,3,0.6581067565129242,0.1,0.1,0.1,0.1,0.1,1.2233833187614838e-61,1.987997892987411e-60,True,exploratory Pearson approximation
judgment_continuous,Judgment,4,0.6730718669571465,0.1,0.1,0.1,0.1,0.1,2.080400167630558e-65,1.3522601089598627e-63,True,exploratory Pearson approximation
judgment_continuous,Judgment,5,0.6669319887120366,0.1,0.1,0.1,0.1,0.1,7.783911512061622e-64,2.0238169931360216e-62,True,exploratory Pearson approximation
judgment_continuous,Judgment,6,0.6275830737738235,0.1,0.1,0.1,0.1,0.1,1.3893787695568132e-54,8.600916192494558e-54,True,exploratory Pearson approximation
judgment_continuous,Judgment,7,0.6294299412567448,0.1,0.1,0.1,0.1,0.1,5.473318245276646e-55,3.55765685942982e-54,True,exploratory Pearson approximation
judgment_continuous,Judgment,8,0.6235072958243701,0.1,0.1,0.1,0.1,0.1,1.0618752644224788e-53,6.274717471587374e-53,True,exploratory Pearson approximation
judgment_continuous,Judgment,9,0.6413507240141094,0.1,0.1,0.1,0.1,0.1,1.1476102268474085e-57,1.0656380677868792e-56,True,exploratory Pearson approximation
judgment_continuous,Judgment,10,0.6496905541071523,0.1,0.1,0.1,0.1,0.1,1.3005310825171536e-59,1.4089086727269164e-58,True,exploratory Pearson approximation
judgment_continuous,Judgment,11,0.6567276759401202,0.1,0.1,0.1,0.1,0.1,2.65520047918125e-61,3.835289581039584e-60,True,exploratory Pearson approximation
judgment_continuous,Judgment,12,0.6507038437483716,0.1,0.1,0.1,0.1,0.1,7.473769709815772e-60,9.715900622760503e-59,True,exploratory Pearson approximation
judgment_continuous,Judgment,13,0.6677821826660915,0.1,0.1,0.1,0.1,0.1,4.738266784728021e-64,1.6039529703861385e-62,True,exploratory Pearson approximation
judgment_continuous,Judgment,14,0.67783232731501,0.1,0.1,0.1,0.1,0.1,1.18062230231269e-66,1.534808993006497e-64,True,exploratory Pearson approximation
judgment_continuous,Judgment,15,0.6497382197104014,0.1,0.1,0.1,0.1,0.1,1.2671391548346034e-59,1.4089086727269164e-58,True,exploratory Pearson approximation
judgment_continuous,Judgment,16,0.6677125279222293,0.1,0.1,0.1,0.1,0.1,4.935239908880426e-64,1.6039529703861385e-62,True,exploratory Pearson approximation
judgment_continuous,Judgment,17,0.6442277419873954,0.1,0.1,0.1,0.1,0.1,2.4856706373275468e-58,2.4856706373275468e-57,True,exploratory Pearson approximation
judgment_continuous,Judgment,18,0.665967915312002,0.1,0.1,0.1,0.1,0.1,1.3639277492291182e-63,2.9551767899964227e-62,True,exploratory Pearson approximation
judgment_continuous,Judgment,19,0.6343120417095265,0.1,0.1,0.1,0.1,0.1,4.523948493800012e-56,3.2672961344111195e-55,True,exploratory Pearson approximation
judgment_continuous,Judgment,20,0.6386854484395537,0.1,0.1,0.1,0.1,0.1,4.6658691169326224e-57,4.0437532346749397e-56,True,exploratory Pearson approximation
judgment_continuous,Judgment,21,0.6370628865180055,0.1,0.1,0.1,0.1,0.1,1.0884893058412e-56,8.84397560995975e-56,True,exploratory Pearson approximation
judgment_continuous,Judgment,22,0.6149386764701615,0.1,0.1,0.1,0.1,0.1,6.934260635907527e-52,3.467130317953763e-51,True,exploratory Pearson approximation
judgment_continuous,Judgment,23,0.6364362272822035,0.1,0.1,0.1,0.1,0.1,1.5077159569932585e-56,1.152959261230139e-55,True,exploratory Pearson approximation
judgment_continuous,Judgment,24,0.6314639102714539,0.1,0.1,0.1,0.1,0.1,1.947695453528144e-55,1.3326337313613617e-54,True,exploratory Pearson approximation
judgment_continuous,Judgment,25,0.6201469604765847,0.1,0.1,0.1,0.1,0.1,5.552952087374241e-53,3.1386250928637013e-52,True,exploratory Pearson approximation
