random_rep,pair_id,source_idx,target_idx,patch_layer,matched_norm,base_prediction,patched_prediction,delta_wsr_predicted,direction_seed,base_source,elapsed_seconds
2,4,441,256,19,103.68385624866029,-0.0309425523201656,0.13385544926461515,0.16479800158478075,713049280,live_unpatched_same_model,1.2482467999798246
2,5,84,407,19,103.17152579354456,0.0701096946469617,0.07278588477523171,0.0026761901282700007,1646039823,live_unpatched_same_model,1.2419666000059806
2,6,180,181,19,110.38806055107938,-0.0706881178551478,0.07974773233621966,0.15043585019136746,3301411780,live_unpatched_same_model,1.2355033000349067
2,7,442,166,19,108.47418947067077,-0.0374219266130395,-0.06023732240360015,-0.022815395790560647,3330552095,live_unpatched_same_model,1.246081100020092
2,8,353,336,19,109.08276948497313,0.2334113362848168,0.2954905053500534,0.062079169065236584,862150943,live_unpatched_same_model,1.2493497999967076
2,9,121,471,19,136.23808812678564,0.1553593319424777,0.07458648021787331,-0.08077285172460438,3328620241,live_unpatched_same_model,1.2352115000248887
2,10,145,125,19,85.2051251574838,-0.0414361952716543,-0.07804500757458288,-0.03660881230292858,3763056114,live_unpatched_same_model,1.2603881999966688
2,11,222,268,19,112.73324134162299,-0.0744144220976672,-0.22223728407326135,-0.14782286197559413,502459045,live_unpatched_same_model,1.2430462000193074
2,12,217,403,19,117.51799281220073,0.356841227425656,0.2461005465192604,-0.1107406809063956,767847978,live_unpatched_same_model,1.241511799977161
2,13,209,443,19,119.69797830784465,-0.0405956674567725,-0.00941086435662933,0.03118480310014317,715284207,live_unpatched_same_model,1.2387569000129588
2,14,322,267,19,140.07018286936724,0.20774430399201,0.08274811641464572,-0.12499618757736428,2670926023,live_unpatched_same_model,1.236923200020101
2,15,65,148,19,124.16221683795429,0.0040545803889276,0.14555579161906934,0.14150121123014175,1368149529,live_unpatched_same_model,1.242991900013294
3,1,368,13,19,100.27535664750594,0.3222584150282147,0.38125398437351304,0.05899556934529837,339946874,live_unpatched_same_model,1.2464987999992445
3,2,340,186,19,124.14250147738309,0.5517011289529234,0.22915203991020808,-0.3225490890427154,2842175378,live_unpatched_same_model,1.2328970999806188
3,3,135,70,19,133.86533456399275,-0.0451771379115059,0.010994189302814731,0.05617132721432063,3422116012,live_unpatched_same_model,1.2336737000150606
3,4,441,256,19,103.68385624866029,-0.0309425523201656,-0.018411469530113328,0.012531082790052273,3098942193,live_unpatched_same_model,1.2474847999983467
3,5,84,407,19,103.17152579354456,0.0701096946469617,-0.0019692085117623418,-0.07207890315872405,758693309,live_unpatched_same_model,1.2425323000061326
3,6,180,181,19,110.38806055107938,-0.0706881178551478,-0.07472228969932308,-0.004034171844175288,2607103160,live_unpatched_same_model,1.2355269000399858
3,7,442,166,19,108.47418947067077,-0.0374219266130395,0.09295199678172633,0.13037392339476583,2815812740,live_unpatched_same_model,1.2463173000141978
3,8,353,336,19,109.08276948497313,0.2334113362848168,-0.011899877549050255,-0.24531121383386706,1804148549,live_unpatched_same_model,1.2510833999840543
3,9,121,471,19,136.23808812678564,0.1553593319424777,0.09227455735588642,-0.06308477458659127,2055533301,live_unpatched_same_model,1.235874900012277
3,10,145,125,19,85.2051251574838,-0.0414361952716543,-0.012412062263392485,0.029024133008261815,217286670,live_unpatched_same_model,1.2580399999860674
3,11,222,268,19,112.73324134162299,-0.0744144220976672,-0.04902744765200712,0.025386974445660085,2766296101,live_unpatched_same_model,1.243457100004889
3,12,217,403,19,117.51799281220073,0.356841227425656,0.41083007368485214,0.053988846259196144,3585672583,live_unpatched_same_model,1.2407660000026226
3,13,209,443,19,119.69797830784465,-0.0405956674567725,0.10973204373801523,0.15032771119478772,402737306,live_unpatched_same_model,1.2397790999966674
3,14,322,267,19,140.07018286936724,0.20774430399201,0.29648093738372105,0.08873663339171106,1347953538,live_unpatched_same_model,1.2339959000237286
3,15,65,148,19,124.16221683795429,0.0040545803889276,-0.09151174086016989,-0.09556632124909749,1721803820,live_unpatched_same_model,1.2420498999999836
4,1,368,13,19,100.27535664750594,0.3222584150282147,0.18879300388410422,-0.13346541114411045,2406075695,live_unpatched_same_model,1.2479475000291131
4,2,340,186,19,124.14250147738309,0.5517011289529234,0.2827697861401397,-0.26893134281278375,2928344446,live_unpatched_same_model,1.2335275000077672
4,3,135,70,19,133.86533456399275,-0.0451771379115059,0.058602044399233555,0.10377918231073946,160297563,live_unpatched_same_model,1.2343415999785066
4,4,441,256,19,103.68385624866029,-0.0309425523201656,0.03153396187977732,0.06247651419994292,3271947723,live_unpatched_same_model,1.2477832000004128
4,5,84,407,19,103.17152579354456,0.0701096946469617,-0.06612501217507058,-0.1362347068220323,3108836166,live_unpatched_same_model,1.2428207999910228
4,6,180,181,19,110.38806055107938,-0.0706881178551478,-0.04969617831693439,0.020991939538213406,1537072934,live_unpatched_same_model,1.2348147999728099
4,7,442,166,19,108.47418947067077,-0.0374219266130395,-0.21320926454331807,-0.17578733793027856,4123557056,live_unpatched_same_model,1.2484635000000708
4,8,353,336,19,109.08276948497313,0.2334113362848168,0.49799231022970225,0.26458097394488544,696726981,live_unpatched_same_model,1.25650499999756
4,9,121,471,19,136.23808812678564,0.1553593319424777,0.2439928868365784,0.08863355489410071,137539257,live_unpatched_same_model,1.2358006000285968
4,10,145,125,19,85.2051251574838,-0.0414361952716543,-0.09297161439065635,-0.05153541911900205,989329909,live_unpatched_same_model,1.2606906999717467
