token,members,corpus_count,r_ev,r_fd,delta,r_wsr_l12,r_wsr_l21
between,between,12,-0.323596977650111,0.1332952403449859,-0.4568922179950969,-0.06378061755540426,0.014448873262781589
guessed,guess|guessed,12,-0.17108104326716975,-0.05537999260741896,-0.11570105065975078,0.06699589854470683,0.02482349227852314
saw,saw,12,-0.28207043389333697,0.11251494504466518,-0.39458537893800216,-0.08214821926733458,-0.08548387987359522
long,long,12,-0.28136325150292385,0.18524625020164465,-0.4666095017045685,-0.15752981972641628,-0.12644364418311518
all,all,12,-0.3019427288025591,0.042945413029361904,-0.344888141831921,-0.11664445669486007,-0.03345512548372104
noticed,noticed,12,-0.26108019619479844,0.13165363875639655,-0.39273383495119496,-0.07344057651369447,-0.08631142764741612
successful,successful,12,0.2786265330751322,0.14422588798510005,0.13440064509003213,-0.010661520818332222,-0.09408488787314076
figure,figure,12,-0.2172435484602113,0.2270838386229064,-0.4443273870831177,-0.09389778532486684,-0.13289159445244997
what,what,11,-0.33817937482120475,-0.06405348755194282,-0.2741258872692619,-0.0952106970181564,0.019533333178069875
random,random,11,-0.26324031329460995,0.08008837873977923,-0.3433286920343892,-0.13934969701685462,-0.04152144610056781
well,well,11,-0.23534537713361797,0.0081053295269868,-0.24345070666060478,-0.1207562397778109,-0.08024413400140953
streak,streak|streaks,11,0.22512469036370414,0.1952759184809366,0.02984877188276755,-0.05200937135850376,-0.030252107563732932
because,because,11,-0.23037621937776936,-0.1903605712722657,-0.040015648105503676,-0.07715116505759637,0.04106471448109708
strategies,strategies,10,-0.004813750138523171,-0.0030543677991588976,-0.001759382339364273,0.10872260225661536,0.08092544388158916
wasn,wasn,10,-0.23407671929639337,0.01890015734645658,-0.25297687664284996,-0.15226672007430286,-0.13643942308323423
particular,particular,10,-0.2880699508347224,-0.12575904369874238,-0.16231090713598004,-0.08278382507825577,0.005791298466344215
became,became,10,-0.13677896306845638,0.05841444508806147,-0.19519340815651787,-0.07530181840565618,-0.029873932735603664
helpful,helpful,10,-0.32739568179145107,0.00894872362352397,-0.336344405414975,-0.0398579640003387,0.0345815294460628
turned,turned,9,-0.24116427377750904,0.15711377551654565,-0.3982780492940547,-0.1277427194267408,-0.14274159693017768
where,where,9,-0.3602576334184012,-0.04001484142666196,-0.3202427919917393,-0.10855350110676482,0.019554548565630426
every,every,9,-0.22357570700378837,0.12244451035985049,-0.34602021736363886,-0.142001942442061,-0.025911728744518685
few,few,9,-0.24819342941148329,0.21391504277090834,-0.4621084721823916,-0.1694258388045711,-0.1355479908466257
consistently,consistently,9,0.014911417359003084,0.15929346141955017,-0.14438204406054708,-0.18581788578313851,-0.06547946947450126
around,around,9,-0.3045609568106898,0.24180968486838303,-0.5463706416790728,-0.08689451478731854,-0.050928340994169936
chance,chance,9,-0.06488102685116584,0.004464213174632992,-0.06934524002579884,-0.07819335845060699,-0.09814972127851056
likely,likely,9,-0.23614102093309564,-0.1305378849689984,-0.10560313596409723,-0.08649756314155435,-0.013995333638615
even,even,8,-0.22144278627126074,-0.177527826716328,-0.04391495955493274,-0.0908131829961907,0.036429892852643815
second,second,8,0.06544947272507791,0.3005642302900633,-0.2351147575649854,-0.0833990355708645,-0.17117071682419727
losing,losing,8,0.18080575017904965,0.2649014747428199,-0.08409572456377024,-0.2025156902405289,-0.12168317691341468
some,some,8,-0.31489670343581944,0.05684842252797728,-0.3717451259637967,-0.08550514713920852,0.005909980327998797
also,also,8,-0.2561112444597098,-0.2069976004865837,-0.04911364397312609,-0.08309623130790166,0.08413190541610704
number,number,8,0.08269540840534603,0.12574977175694146,-0.04305436335159543,-0.0053093581915604725,-0.04878119489477018
classmate,classmate,8,0.2510960300460517,0.13934023725274078,0.11175579279331091,0.05290457070429329,-0.0046169159704761015
choose,choose,8,-0.3012510824469455,0.0683136011421693,-0.36956468358911476,-0.11325245521424232,-0.011723199975369285
thought,thought,8,-0.2761448129748163,0.03827074702819201,-0.3144155600030083,-0.09839984941798469,-0.07790168445785368
red,red,8,-0.07932434070844183,0.2931623445260867,-0.37248668523452855,-0.11194957691752222,-0.13839182295795094
usually,usually,8,-0.16550898932358804,-0.19457879041982468,0.029069801096236636,-0.07290146012161394,-0.027488430967130828
failures,failures,8,0.1877770682676907,0.13469293029907953,0.05308413796861117,-0.043670598146879555,-0.009091351564768969
too,too,8,-0.23811845770435255,-0.0315250216253643,-0.20659343607898825,-0.11798202518151854,-0.033338640884684065
above,above,8,-0.31919271188838955,0.06606487450355139,-0.38525758639194096,-0.06681042540885765,0.0050194583255588135
stopped,stopped,8,0.13027761035121285,0.16233057591729624,-0.03205296556608339,-0.08273674523309109,-0.12529007126199496
help,help,7,-0.29350744079740476,0.05673131492834124,-0.35023875572574603,-0.06589609547414665,-0.0009433996352102014
soon,soon,7,0.23632127689670535,-0.012047009387218009,0.24836828628392335,-0.06467261140673125,0.007202944078448164
hit,hit,7,-0.17114879862230628,0.27666111312509634,-0.4478099117474026,-0.1990624781605872,-0.19742594287972495
being,being,7,-0.2826959382095016,0.01778295177136667,-0.3004788899808683,-0.11081846078059736,0.007667934110821294
least,least,7,-0.14838864205836078,0.023320881372116128,-0.1717095234304769,-0.05893637621785696,-0.027933700309678827
immediately,immediately,7,0.14569081149999902,0.07310780403467844,0.07258300746532058,-0.11935550899705424,-0.061686668870957494
middle,middle,7,0.07259520079603402,0.22568209835291042,-0.1530868975568764,-0.017807048275197537,-0.16594933447594548
black,black,7,-0.16375600409878355,0.31467671642985096,-0.4784327205286345,-0.16382427984107334,-0.15226541605736305
very,very,7,-0.2598553849787647,0.004656391991921506,-0.26451177697068623,-0.10871857363149462,-0.0469750090121785
losses,losses,7,0.3563060591037502,0.2116994598539501,0.14460659924980007,-0.05130126181863985,-0.06941750675057537
