dimension,layer,token_id,token,corpus_count,filter_status,retained,mean_raw_logit,median_raw_logit,maximum_raw_logit,best_corpus_rank,median_corpus_rank,participants_top10,participants_top50,participants_top100
Evaluation,12,1105,about,12,non_content,False,10.672220183773867,13.464921791262391,20.97687720888126,14,64.0,0,126,359
Evaluation,12,1125,been,3,frequency_below_5,False,7.104336877424986,9.513042406825587,15.172038932052821,64,199.0,0,0,19
Evaluation,12,1134,would,112,non_content,False,7.388012918411683,9.509262071265788,17.671114292121548,21,196.5,0,8,74
Evaluation,12,1142,set,1,frequency_below_5,False,4.762370857809536,8.022027755635518,13.376182224513697,99,273.0,0,0,2
Evaluation,12,1144,am,1,frequency_below_5,False,4.728738757734984,5.299156650410394,12.323115229262903,83,397.5,0,0,1
Evaluation,12,1150,mu,1,frequency_below_5,False,-0.28376661325532354,-0.20253252096966143,5.417394145178633,266,762.5,0,0,0
Evaluation,12,1154,like,14,retained,True,14.645904298138277,18.55893003700699,24.97996680835903,1,9.0,262,378,388
Evaluation,12,1156,other,26,retained,True,11.065351078334128,11.20344842042542,16.118206673570597,6,123.0,2,105,189
Evaluation,12,1160,work,13,retained,True,8.957331562810701,10.518811739773964,16.394988979416407,22,152.5,0,23,112
Evaluation,12,1163,over,13,retained,True,14.301147037268548,16.784270167603005,21.97672120717342,2,21.0,49,385,405
Evaluation,12,1165,It,6,non_content,False,-1.7123262088624338,1.138696124894597,9.559320136406669,225,724.0,0,0,0
Evaluation,12,1170,also,8,retained,True,-3.359705876459988,1.2215533523420468,10.657618230530543,219,726.5,0,0,0
Evaluation,12,1173,".,",2,frequency_below_5,False,-7.716967943587696,-5.1739414823886065,-1.0375242064564825,867,1070.0,0,0,0
Evaluation,12,1174,them,22,retained,True,4.612070070258153,7.369208404707024,13.937713573321039,72,297.0,0,0,5
Evaluation,12,1175,the,2,frequency_below_5,False,1.6253366107365093,4.380853292346527,10.367289185177825,208,495.5,0,0,0
Evaluation,12,1178,than,25,retained,True,4.44314864176902,6.93140991004363,13.503305360728106,74,334.5,0,0,1
Evaluation,12,1185,when,57,non_content,False,12.717815667194088,14.921133203271879,20.525629209791553,2,40.0,10,309,392
Evaluation,12,1212,what,11,retained,True,5.247940223698116,9.596337543617553,18.542027280195935,33,185.0,0,5,65
Evaluation,12,1230,know,3,frequency_below_5,False,5.9659448308764365,6.875472128179737,14.684645584295547,10,328.5,1,2,10
Evaluation,12,1249,may,2,frequency_below_5,False,3.4531017566369346,5.9044042560665915,12.215282791974305,137,398.5,0,0,0
Evaluation,12,1274,Q,1,frequency_below_5,False,-7.49748671478431,-5.66129273454191,0.3790473677063525,841,1066.0,0,0,0
Evaluation,12,1277,its,1,frequency_below_5,False,1.4570458507843915,4.574533454211604,10.310886678164653,188,483.5,0,0,0
Evaluation,12,1280,into,6,retained,True,10.792919859955765,12.89340832717258,17.57971238412097,15,82.0,0,91,317
Evaluation,12,1281,use,12,retained,True,6.794174392038672,8.74536988509615,15.196365558621814,21,231.5,0,3,27
Evaluation,12,1285,bet,1,frequency_below_5,False,-2.647433411013867,0.6115881465002363,5.2921114313224935,494,790.0,0,0,0
Evaluation,12,1294,No,42,non_content,False,2.121221112163872,2.2470933920150213,11.456498719236242,15,650.0,0,16,20
Evaluation,12,1297,only,7,retained,True,9.832487045018897,13.721189528652847,19.830406350538617,8,60.5,1,194,333
Evaluation,12,1307,No,155,non_content,False,-2.6747178064084465,-1.4223886925056055,6.971901768981386,145,869.0,0,0,0
Evaluation,12,1317,just,95,non_content,False,11.107633225395018,16.933776213124855,24.31331057844718,1,20.0,118,347,370
Evaluation,12,1354,else,6,retained,True,5.2411209173645545,5.197582342365537,14.24417563180521,16,452.0,0,9,77
Evaluation,12,1355,back,24,retained,True,13.547417206481692,15.498541042958653,22.11955188570353,4,34.0,25,337,405
Evaluation,12,1357,him,4,frequency_below_5,False,-1.074441296491195,0.49254655216545074,7.391715590079788,382,756.5,0,0,0
Evaluation,12,1368,how,7,retained,True,7.089716489114609,8.873239683642876,19.57022790751631,14,232.0,0,11,37
Evaluation,12,1370,first,25,retained,True,11.795663798499008,13.858475315739915,19.970182732947784,7,57.5,5,206,360
Evaluation,12,1377,tive,1,frequency_below_5,False,-5.804728428540683,-3.2324020396902453,1.2688144949616893,800,1005.0,0,0,0
Evaluation,12,1378,two,42,retained,True,7.469055803242723,9.996611199872687,15.015462228974693,34,187.0,0,8,59
Evaluation,12,1382,true,1,frequency_below_5,False,-0.38920905507362613,1.4011003097354395,6.801443422935513,402,702.5,0,0,0
Evaluation,12,1401,off,6,retained,True,6.921300861977668,9.419851187566362,15.94500243962529,35,204.0,0,2,40
Evaluation,12,1417,This,1,frequency_below_5,False,-2.0608679701665036,0.8944558158120772,6.693749035081685,365,756.0,0,0,0
Evaluation,12,1426,good,31,retained,True,8.648612581920732,11.02588485064882,18.33403425526067,12,129.5,0,17,153
Evaluation,12,1443,see,23,retained,True,5.52317848553592,6.982361229359979,12.636729130508968,74,321.5,0,0,2
Evaluation,12,1447,hed,1,frequency_below_5,False,-6.56645415595787,-4.531216495642241,0.5842425344048957,844,1049.0,0,0,0
Evaluation,12,1452,after,35,retained,True,11.617446773802678,14.020563620074814,20.03738802933481,7,53.5,3,221,374
Evaluation,12,1453,don,13,retained,True,6.103396692543556,8.74063644878876,15.471220772044731,42,237.0,0,1,14
Evaluation,12,1461,people,22,retained,True,9.938992982275165,10.753189547526624,18.623333548071084,10,125.0,1,29,155
Evaluation,12,1474,And,1,frequency_below_5,False,-4.554933639885652,-0.6840592541534445,5.346313370218369,481,871.0,0,0,0
Evaluation,12,1476,need,1,frequency_below_5,False,7.0756887356775815,8.029912155211386,13.938039533494644,26,249.5,0,3,23
Evaluation,12,1486,ting,1,frequency_below_5,False,-3.9664026464673294,-1.0332402561024214,3.919409617185633,598,898.0,0,0,0
Evaluation,12,1490,now,1,frequency_below_5,False,6.167569289510807,8.787572812941306,14.423352483443763,44,234.5,0,1,10
Evaluation,12,1492,then,86,retained,True,5.179205376403587,8.226368998343837,15.922906115320494,36,259.0,0,7,59
Evaluation,12,1497,long,12,retained,True,8.923838593563772,11.628932845228018,16.88885948885813,26,120.0,0,10,173
Evaluation,12,1498,did,43,retained,True,5.281231817334857,7.926620667640216,17.634476754027347,18,290.0,0,5,15
Evaluation,12,1500,show,2,frequency_below_5,False,11.423887760092809,11.637600172018562,17.015976730085256,8,106.0,6,133,229
Evaluation,12,1501,make,2,frequency_below_5,False,6.233233286585947,9.270422683499923,14.976026913684045,80,205.5,0,0,6
Evaluation,12,1508,very,7,retained,True,8.935724622883885,12.868723209386278,20.361470231319636,5,80.0,1,134,293
Evaluation,12,1535,every,9,retained,True,10.76614218079937,14.635110212603488,20.175425516215245,3,46.0,7,265,354
Evaluation,12,1536,high,2,frequency_below_5,False,4.70293376833304,6.907750147324588,11.895962008636735,95,333.0,0,0,1
Evaluation,12,1538,could,6,retained,True,3.206699752477036,6.2968991840104795,13.057352205339797,121,374.0,0,0,0
Evaluation,12,1541,sti,1,frequency_below_5,False,-2.1801771830660037,-1.270670420110244,4.1980098958614755,507,849.0,0,0,0
Evaluation,12,1546,most,43,retained,True,4.639860203772377,8.203775538161395,15.991323089807478,48,270.5,0,1,13
Evaluation,12,1552,person,95,retained,True,0.9592156457600685,2.085730114036831,10.27731783337215,198,644.0,0,0,0
Evaluation,12,1563,med,1,frequency_below_5,False,-5.632795091311945,-4.069445675204397,0.3155361693452916,778,1013.0,0,0,0
Evaluation,12,1570,where,9,retained,True,6.58561264297926,10.201315880181609,16.257619827821998,19,163.0,0,4,79
Evaluation,12,1578,well,11,retained,True,6.481851279075419,9.331701240144938,16.49447344344142,47,199.5,0,1,42
Evaluation,12,1580,end,4,frequency_below_5,False,6.11182926312178,6.813031651470342,11.206093817291478,70,309.5,0,0,3
Evaluation,12,1582,such,1,frequency_below_5,False,1.1081180954158636,4.333012880959899,11.394692109859113,100,496.5,0,0,1
